año,trimestre,ingresos(milesDePesos),bandaAnchaFija,dialUp,hasta512Kbps,entre512KbpsY1Mbps,entre1MbpsY6Mbps,entre6MbpsY10Mbps,entre10MbpsY20Mbps,entre20MbpsY30Mbps,másDe30Mbps,otrosAccesosPorVelocidad,accesosPorCada100Hogares,accesosPorCada100Hab,adsl,cablemodem,fibraÓptica,wireless,otrosAccesosPorTecnologia,mbps(mediaDeBajada)
2019,1,0.06208068637489552,0.43052010218177283,0.4029932158319981,0.6816614273972835,0.2536572709976362,0.5977225680121568,0.6208789197522149,0.6932632081994551,0.7367139243415227,0.13495206414579136,0.30516884707561587,0.44074652478162046,0.43715074706874013,0.7786943516515664,0.5532067354482806,0.1284631186347272,0.3895759499785011,0.5311570028621795,0.10154638431755897
2019,2,0.06401160276337635,0.4898638685517245,0.40101592063546176,0.8350985858209272,0.10235048505685043,0.6013843259778624,0.608648633950077,0.543226603489649,0.7403570119219167,0.19949895229929626,0.5979038176846998,0.5106354766702086,0.5041014876372474,0.7316975885151602,0.6077977772540599,0.1603768814271937,0.44944718363883296,1.0,0.12331232146351612
2019,3,0.06729031857626418,0.528740857783089,0.40234548119865,1.0,0.07901404646956903,0.5698209939390546,0.7715068017499327,0.35859346402570463,0.6759049824005288,0.2757753470115715,0.5870154356558345,0.5535054630447453,0.5452375237230696,0.7050670139396786,0.6526727614334158,0.18396538210084126,0.5066779307222697,0.9952518149250338,0.15171871400993475
2019,4,0.07636091752952882,0.4603209009641098,0.004670507619404796,0.1381006448114287,0.0006964063007322135,0.4492715086587432,0.7916594763797768,0.38154919266278925,0.5944895857209446,0.33753802487254997,0.48473552997680547,0.4557663935032863,0.4556307537906714,0.5415464633393747,0.6755248635060294,0.2069468001612007,0.5102825547938848,0.7534450404685635,0.18182211182536023
2020,1,0.09718368429695802,0.4640062138078491,0.0,0.15622484515205182,0.04194975557504347,0.4160364892933407,0.7664396104799347,0.3626626875991377,0.31506932882730015,0.4177736638418677,0.4682582928675793,0.4536006928350813,0.45515484332369693,0.5035355214658901,0.6809270679218438,0.23442986609094013,0.5333707118138098,0.7337651875580491,0.2501450196123308
2020,2,0.10495580748389108,0.5055719869068906,0.000852282412300176,0.1498190969250714,0.0306009121557037,0.4164290454215197,0.798958532700379,0.3592589579859275,0.30981465917793327,0.44299091761244686,0.4677664350434233,0.4997305156865506,0.49983067877418064,0.5022398514932398,0.7085971016580035,0.24962834572696918,0.5794636819444892,0.9132247853365432,0.25604764663496327
2020,3,0.10457722715223675,0.5673950017635576,0.000852282412300176,0.1498190969250714,0.023492712768055736,0.41327600101229567,0.7852682264621382,0.3549756985398788,0.31877578990323996,0.48393415834750036,0.4864980205133645,0.5712948674450711,0.5687839022932586,0.4917912835486564,0.7779449856195801,0.2661803125662747,0.6487755074981106,0.921778152662206,0.27338661351394605
2020,4,0.11013621501317447,0.6083443377436537,0.000852282412300176,0.1433455630025674,0.02073136316602387,0.40969657953693306,0.8206789513371842,0.3484910725179973,0.34474885439080605,0.5061771897100357,0.446293465524142,0.6160171504227658,0.611925198956067,0.4753015387896976,0.8086242149687297,0.30238338621548366,0.6644877285564647,0.9417518054476184,0.28585591309925706
2021,1,0.12144217084470169,0.6228730114816641,0.000852282412300176,0.14324812106525223,0.019956061162376464,0.40289483904149126,0.8194730748595149,0.32374984748037583,0.3527445757914432,0.5230266068445788,0.45038022538661465,0.6270427692039202,0.6240033630699746,0.4625105950077083,0.8230695540978741,0.31574204174808834,0.6891007002782551,0.9295212009780693,0.291389625932975
2021,2,0.12707698576509252,0.6637050304653416,0.013329696928374213,0.14615019615485644,0.020487089931997972,0.3883854234089873,0.8273766382088186,0.3010483182169439,0.3832355190081989,0.5567098761640636,0.40353800083905156,0.6711505398920357,0.6671359704355502,0.4107947403195391,0.8822466733004264,0.3439341017370355,0.7694518054374324,0.9441969785999962,0.30998290105426723
2021,3,0.14423515420244842,0.7060079802177304,0.012477414516074037,0.1461586693667969,0.019596478824089887,0.39280733611131524,0.8435801458137888,0.3096122951153048,0.31747100662578787,0.5910584872138129,0.39365262300062204,0.7167701749880637,0.7117577147994147,0.38835627226107283,0.932579779689348,0.3681353611045034,0.7987112000954667,0.9282654434482629,0.3308634441468295
2021,4,0.15313072343720877,0.7823969364482231,0.09784202093205607,0.15076809666240185,0.0,0.12759963473387,1.0,0.44505836417619066,0.3304975174765741,0.7208639409087463,0.4683523245104326,0.8052900529597216,0.7967844911285566,0.2916049897161974,0.975672759251258,0.4987337180339915,0.8568473651012535,0.9396667740773736,0.35949118520659684
2022,1,0.18827922090064858,0.8079627247585448,0.08959192718099068,0.12377244342012726,0.115793099053555,0.0926276186444335,0.9621555591114792,0.4404670150892748,0.3017555642817503,0.7572458132979505,0.47819430312908373,0.829226872750694,0.8212682210791322,0.25053746860295145,1.0,0.5367368832228991,0.899858504772386,0.9368235494815855,0.3799290312724617
2022,2,0.20702302142681792,0.8716329594210588,0.08335321992295369,0.11859107431854192,0.10768808280407466,0.07625758492845705,0.949481828706972,0.3840622076707203,0.28723948014780837,0.8058246196554901,0.8477169599328758,0.9003354068119516,0.8901879784328859,0.2291057532831729,0.9743018186103147,0.6667067432352731,0.9196129054254992,0.8402155164243608,0.4044987162541692
2022,3,0.2202415511136105,0.8968158037592777,0.0833873112194457,0.11582033401401469,0.10348385217372832,0.06885896318999088,0.9022884460718024,0.36725607028104285,0.28398255629728214,0.836215542943157,0.8415470375210365,0.9233238037958194,0.9137567804586517,0.20498331048961071,0.9886920582548848,0.704957333934654,0.9212551592721047,0.8573743768599429,0.43415941704289723
2022,4,0.25036282836416984,0.9190579274060677,0.08369413288787375,0.11144815665274237,0.08670486027874458,0.04877678997314153,0.8578550877424171,0.3375198275511449,0.198547384717985,0.8859218503037379,0.9506406207052854,0.9427484401675448,0.9342908803494487,0.1785997188752766,0.990188745739337,0.7537287979041847,0.9512949559887335,0.793449210531304,0.7595417316655108
2023,1,0.3645931952588846,0.9254829819052317,0.08335321992295369,0.10914344300493987,0.08121250557580209,0.031581991866647535,0.8065033661001244,0.31930847602391504,0.21169353525195111,0.9043503914405229,0.9999999999999999,0.9424076570733046,0.9363442903385288,0.14196303246208003,0.9806759015584972,0.8009011551855898,0.9582617491234683,0.7607426502644199,0.7886121697519756
2023,2,0.4147861556386371,0.9274456172975067,0.0724440050455119,0.10655911336310255,0.07720247975263164,0.022708543985296037,0.7729615928864793,0.32181539024687844,0.21581636611638336,0.929526817150994,0.6653462052204439,0.9362735613769699,0.9332641753549091,0.07661556738887171,0.9791939436392283,0.8578108286200365,0.968066023529501,0.7019352882082,0.8878500865699835
2023,3,0.46901979357411583,0.9569809792451591,0.061432516278594085,0.10421627026156806,0.07902921872012963,0.018532941010452997,0.7420825790068724,0.3146769634359621,0.20763585471004256,0.9568461772304183,0.6688808305646238,0.9642177751047158,0.9609852102074852,0.04075218858932117,0.9851084095997487,0.9209520644678908,0.9673329759647532,0.6905576511173872,0.9300538697818054
2023,4,0.5925421060413436,0.9837438952855491,0.061432516278594085,0.10181835128242063,0.06557598414803262,0.007953984864547126,0.7205200852166656,0.3030590352625371,0.2072639055959981,0.9833625056407975,0.7126923429309904,0.9887541578900534,0.986652835070982,0.020443783475188937,0.9861176575845259,0.9724147646206807,0.9755234092204882,0.6657694713497735,0.9991883887843879
2024,1,0.9999999999999999,0.9999999999999998,0.061432516278594085,0.09797574966742643,0.06195436793921389,0.0,0.6920957045487586,0.2903099198763574,0.2093996516234572,0.9999999999999999,0.7912473417977886,0.9999999999999998,1.0,0.0,0.9764138745957553,1.0000000000000002,1.0,0.9649951665181873,0.9999999999999999
