año,trimestre,provincia,mbps(mediaDeBajada),Periodo
2017,2,Mendoza,3.507255863215121,2017T2
2017,2,Misiones,7.604338490520663,2017T2
2017,2,Neuquén,6.700610698446883,2017T2
2017,2,Río Negro,4.741350857381452,2017T2
2017,2,Salta,5.756213134839845,2017T2
2017,2,San Juan,3.4920338095238095,2017T2
2017,2,San Luis,3.502824149975052,2017T2
2017,2,Santa Cruz,3.60311348968991,2017T2
2017,2,Santa Fe,6.838749250446204,2017T2
2017,2,Santiago Del Estero,5.05794740805446,2017T2
2017,2,Tierra Del Fuego,3.476761467376085,2017T2
2017,2,Tucumán,6.093280445624717,2017T2
2017,3,Buenos Aires,8.425706211853651,2017T3
2017,3,Capital Federal,10.635720274073307,2017T3
2017,3,Catamarca,5.260018066713561,2017T3
2017,3,Chaco,8.484871287555498,2017T3
2017,3,Chubut,3.4783469156690874,2017T3
2017,3,Córdoba,9.115572873049981,2017T3
2017,3,Corrientes,7.447416428085263,2017T3
2017,3,Entre Ríos,6.993400639349653,2017T3
2017,3,Formosa,7.06882153411281,2017T3
2017,3,Jujuy,4.689006725369201,2017T3
2017,3,La Pampa,3.4381011143320657,2017T3
2017,3,La Rioja,5.010090208766659,2017T3
2017,3,Mendoza,3.512962661663036,2017T3
2017,3,Misiones,8.430383025286991,2017T3
2017,3,Neuquén,8.16517738570226,2017T3
2017,3,Río Negro,5.487278804673885,2017T3
2017,3,Salta,6.133146206896552,2017T3
2017,3,San Juan,3.4497842064911834,2017T3
2017,3,San Luis,3.50338739319684,2017T3
2017,3,Santa Cruz,3.610470505758638,2017T3
2017,3,Santa Fe,7.792215148399743,2017T3
2017,3,Santiago Del Estero,5.178558078335373,2017T3
2017,3,Tierra Del Fuego,3.475358271865121,2017T3
2017,3,Tucumán,6.3851768015553985,2017T3
2017,4,Buenos Aires,12.9720825438982,2017T4
2017,4,Capital Federal,15.20221886916041,2017T4
2017,4,Catamarca,7.78415435139573,2017T4
2017,4,Chaco,11.702868121959403,2017T4
2017,4,Chubut,5.408238076890145,2017T4
2017,4,Córdoba,11.63658470115664,2017T4
2017,4,Corrientes,10.384400430891967,2017T4
2017,4,Entre Ríos,9.295960619999066,2017T4
2017,4,Formosa,10.114170463766307,2017T4
2017,4,Jujuy,6.638821273566491,2017T4
2017,4,La Pampa,3.9758194449815036,2017T4
2017,4,La Rioja,5.877588849506658,2017T4
2017,4,Mendoza,5.71002586675844,2017T4
2017,4,Misiones,11.324123723249613,2017T4
2017,4,Neuquén,10.719151524540269,2017T4
2017,4,Río Negro,8.045522324672751,2017T4
2017,4,Salta,8.451742767775633,2017T4
2017,4,San Juan,5.832260073010133,2017T4
2017,4,San Luis,5.732208801354054,2017T4
2017,4,Santa Cruz,5.206584828874508,2017T4
2017,4,Santa Fe,10.297494601847182,2017T4
2017,4,Santiago Del Estero,6.165600214985038,2017T4
2017,4,Tierra Del Fuego,5.203225704536838,2017T4
2017,4,Tucumán,9.106021307187058,2017T4
2018,1,Buenos Aires,14.198889644680946,2018T1
2018,1,Capital Federal,17.74557730418008,2018T1
2018,1,Catamarca,8.198860528714677,2018T1
2018,1,Chaco,12.444064678644967,2018T1
2018,1,Chubut,5.418637938827784,2018T1
2018,1,Córdoba,12.790571217400485,2018T1
2018,1,Corrientes,11.118502865253635,2018T1
2018,1,Entre Ríos,9.875239366998759,2018T1
2018,1,Formosa,11.056815367469506,2018T1
2018,1,Jujuy,6.741185879384532,2018T1
2018,1,La Pampa,3.995131352064104,2018T1
2018,1,La Rioja,5.890820604111634,2018T1
2018,1,Mendoza,5.881626969169374,2018T1
2018,1,Misiones,12.082189465143012,2018T1
2018,1,Neuquén,11.96045995607415,2018T1
2018,1,Río Negro,8.976243194361576,2018T1
2018,1,Salta,9.1894409821995,2018T1
2018,1,San Juan,5.850581035549749,2018T1
2018,1,San Luis,5.89436270457927,2018T1
2018,1,Santa Cruz,5.1892899508557875,2018T1
2018,1,Santa Fe,11.173305005746002,2018T1
2018,1,Santiago Del Estero,6.248210722163038,2018T1
2018,1,Tierra Del Fuego,5.768082036032884,2018T1
2018,1,Tucumán,9.355631684806106,2018T1
2018,2,Buenos Aires,14.679375512175804,2018T2
2018,2,Capital Federal,18.93813458927817,2018T2
2018,2,Catamarca,7.693096507452943,2018T2
2018,2,Chaco,12.499460181995785,2018T2
2018,2,Chubut,5.329857730598913,2018T2
2018,2,Córdoba,13.876809406349514,2018T2
